name,price,type,efficiency,wattage,modular,color
ADATA XPG CORE Reactor 650,84.94,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 P5,169.99,ATX,platinum,750,Full,Black / Teal
Corsair RM750x SHIFT,89.99,ATX,gold,750,Full / Side,Black
EVGA SuperNOVA 1000G XC,124.99,ATX,gold,1000,Full,Black
Cooler Master MWE Bronze V2,719.3,ATX,bronze,650,false,Black
EVGA 850 B5,99.99,ATX,bronze,850,Full,Black
Thermaltake Smart BM3,89.99,ATX,bronze,750,Semi,Black
be quiet! Pure Power 12 M,146.9,ATX,gold,1200,Full,Black
Deepcool PQ1000M,129.99,ATX,gold,1000,Full,Black
Thermaltake Smart BX1,74.98,ATX,bronze,750,false,Black
GameMax GX Pro Rampage,85.99,ATX,gold,850,Full,Black
Deepcool PX850G,114.99,ATX,gold,850,Full,Black
Gigabyte P550B,78.98,ATX,bronze,550,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,89.99,ATX,gold,750,Full,Black
Gigabyte UD-GM PG5,124.99,ATX,gold,850,Full,White
Deepcool PX1000G WH,153.98,ATX,gold,1000,Full,White
Asus TUF Gaming 750G,99.99,ATX,gold,750,Full,Black
Gigabyte P850GM,129.99,ATX,gold,850,Full,Black
Corsair RM1200x SHIFT,239.99,ATX,gold,1200,Full / Side,White
SeaSonic VERTEX GX-1000,169.99,ATX,gold,1000,Full,Black / Silver
EVGA SuperNOVA 850G XC,99.99,ATX,gold,850,Full,Black
SeaSonic VERTEX PX-1200,295.0,ATX,platinum,1200,Full,Black / Silver
Corsair RM850x (2018),174.88,ATX,gold,850,Full,Black
be quiet! Dark Power 13,159.9,ATX,titanium,750,Full,Black
MSI MEG Ai1000P PCIE5,251.0,ATX,platinum,1000,Full,Black / Copper
SeaSonic S12III,69.0,ATX,bronze,650,false,Black
Thermaltake Toughpower GF3 TT Premium,99.99,ATX,gold,750,Full,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,White
Azza PSAZ-550W,54.31,ATX,bronze,550,false,Black
PowerSpec PS 650BF,58.99,ATX,bronze,650,false,Black
Corsair RM750x (2018),164.99,ATX,gold,750,Full,Black
PowerSpec PS 750BSM,72.98,ATX,bronze,750,Semi,Black
be quiet! System Power 10,238.16,ATX,bronze,750,false,Black
be quiet! Pure Power 12 M,149.9,ATX,gold,550,Full,Black
Corsair RM650x (2018),182.99,ATX,gold,650,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,162.99,ATX,gold,1000,Full,Black
be quiet! System Power 10,186.12,ATX,bronze,550,false,Black
EVGA SuperNOVA 650 G+,107.67,ATX,gold,650,Full,Black
EVGA 750 BP,71.99,ATX,bronze,750,false,Black
Thermaltake Smart BX1 650,59.99,ATX,bronze,650,false,Black
SeaSonic FOCUS PX,134.99,ATX,platinum,850,Full,Black
