name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram,speed_to_price,total_ram_to_price
Kingston FURY Beast 32 GB,117.99,5600,12.857,36.0,2.0,16.0,5,32.0,47.46164929231291,0.27120942452750235
Corsair Vengeance LPX 16 GB,47.99,3600,10.0,18.0,2.0,8.0,4,16.0,75.01562825588664,0.3334027922483851
Crucial CT64G4YFQ426S 64 GB,649.95,2666,14.254,19.0,1.0,64.0,4,64.0,4.101853988768367,0.09846911300869297
Kingston FURY Beast RGB 16 GB,54.99,3200,10.0,16.0,2.0,8.0,4,16.0,58.19239861793053,0.29096199308965265
G.Skill Trident Z Royal 32 GB,105.99,3600,10.556,19.0,2.0,16.0,4,32.0,33.96546844041891,0.30191527502594584
Patriot Viper Steel 32 GB,67.99,3200,10.0,16.0,2.0,16.0,4,32.0,47.065744962494485,0.4706574496249449
TEAMGROUP T-Create Classic 16 GB,32.49,3200,13.75,22.0,2.0,8.0,4,16.0,98.49184364419821,0.49245921822099104
TEAMGROUP Elite 16 GB,49.99,4800,16.667,40.0,2.0,8.0,5,16.0,96.01920384076816,0.3200640128025605
Patriot Viper Steel 16 GB,43.99,3200,10.0,16.0,2.0,8.0,4,16.0,72.74380541032052,0.36371902705160264
Patriot Viper 4 Blackout 64 GB,116.99,3600,10.0,18.0,2.0,32.0,4,64.0,30.77186084280708,0.5470553038721259
Patriot Viper Xtreme 5 32 GB,169.99,8200,9.268,38.0,2.0,16.0,5,32.0,48.23813165480322,0.18824636743337841
G.Skill Trident Z5 RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0,53.10204442871051,0.2832109036197894
G.Skill Ripjaws V 64 GB,128.99,3600,10.0,18.0,2.0,32.0,4,64.0,27.90914024342972,0.4961624932165284
TEAMGROUP Elite Plus 16 GB,52.99,4800,16.667,40.0,2.0,8.0,5,16.0,90.58312889224382,0.30194376297414605
Kingston FURY Beast 64 GB,219.99,6000,12.0,36.0,2.0,32.0,5,64.0,27.27396699849993,0.2909223146506659
Corsair Vengeance 64 GB,279.99,6600,9.697,32.0,4.0,16.0,5,64.0,23.572270438229936,0.2285795921282903
Corsair Vengeance LPX 32 GB,94.99,3600,8.889,16.0,2.0,16.0,4,32.0,37.89872618170334,0.33687756605958524
Corsair Vengeance LPX 16 GB,39.99,3000,10.667,16.0,1.0,16.0,4,16.0,75.01875468867216,0.4001000250062515
Corsair Vengeance 32 GB,119.99,6000,12.0,36.0,2.0,16.0,5,32.0,50.00416701391783,0.2666888907408951
G.Skill Trident Z5 RGB 32 GB,239.99,8000,9.5,38.0,2.0,16.0,5,32.0,33.334722280095,0.13333888912038
Corsair Dominator Platinum RGB 64 GB,224.99,5600,14.286,40.0,2.0,32.0,5,64.0,24.889995110893818,0.2844570869816436
TEAMGROUP T-Force Vulcan 32 GB,92.99,5600,11.429,32.0,2.0,16.0,5,32.0,60.22152919668782,0.34412302398107325
TEAMGROUP T-Force Delta RGB 32 GB,99.99,5600,11.429,32.0,2.0,16.0,5,32.0,56.00560056005601,0.32003200320032005
Corsair Vengeance RGB Pro 64 GB,149.99,3200,10.0,16.0,2.0,32.0,4,64.0,21.33475565037669,0.4266951130075338
Kingston FURY Beast RGB 16 GB,81.99,6000,13.333,40.0,2.0,8.0,5,16.0,73.17965605561655,0.19514574948164412
Corsair Vengeance RGB 64 GB,207.99,6000,13.333,40.0,2.0,32.0,5,64.0,28.847540747151303,0.30770710130294726
TEAMGROUP T-Force Delta RGB 32 GB,121.99,7200,9.444,34.0,2.0,16.0,5,32.0,59.02123124846299,0.2623165833265022
TEAMGROUP T-Force Delta RGB 16 GB,46.99,3200,10.0,16.0,2.0,8.0,4,16.0,68.09959565865077,0.34049797829325384
Corsair Dominator Titanium 48 GB,279.99,7600,9.474,36.0,2.0,24.0,5,48.0,27.143826565234473,0.17143469409621773
Corsair Vengeance RGB 64 GB,279.99,6000,12.0,36.0,4.0,16.0,5,64.0,21.429336762027216,0.2285795921282903
TEAMGROUP Elite 16 GB,39.99,4800,16.667,40.0,1.0,16.0,5,16.0,120.03000750187546,0.4001000250062515
Corsair Vengeance LPX 16 GB,54.99,3600,8.889,16.0,2.0,8.0,4,16.0,65.46644844517185,0.29096199308965265
Corsair Vengeance LPX 32 GB,92.99,3600,10.0,18.0,4.0,8.0,4,32.0,38.71384019787074,0.34412302398107325
TEAMGROUP T-Create Expert 32 GB,119.99,7200,9.444,34.0,2.0,16.0,5,32.0,60.00500041670139,0.2666888907408951
Kingston FURY Beast 32 GB,84.99,3600,10.0,18.0,2.0,16.0,4,32.0,42.35792446170138,0.37651488410401224
G.Skill Trident Z Neo 16 GB,66.98,3600,8.889,16.0,2.0,8.0,4,16.0,53.74738727978501,0.23887727679904447
Lexar THOR 32 GB,76.03,3200,10.0,16.0,2.0,16.0,4,32.0,42.08864921741418,0.42088649217414176
