name,storage_price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_2
Transcend TS256GSSD370S,119.0,256.0,0.465,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
Crucial BX200,151.99,960.0,0.158,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
PNY CS2211,55.0,480.0,0.115,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Patriot Spark,90.0,128.0,0.703,SSD,,2.5,SATA 6.0 Gb/s,128.0 GB
Seagate Nytro Enterprise,580.0,960.0,0.604,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
Plextor M8VC,100.99,128.0,0.789,SSD,256.0,2.5,SATA 6.0 Gb/s,128.0 GB
VisionTek PRO,216.92,1000.0,0.217,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
VisionTek 900802,69.7,256.0,0.272,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
VisionTek PRO,66.83,240.0,0.278,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Intel D3-S4510,185.0,960.0,0.193,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
Intel DC S4500,239.0,960.0,0.249,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
Kingston SSDNOW DC500M,129.99,480.0,0.271,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Mushkin RAW,99.99,500.0,0.2,SSD,,2.5,SATA 6.0 Gb/s,500.0 GB
Intel DC S3500,133.0,240.0,0.554,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Intel DC S3520,220.0,480.0,0.458,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
VisionTek PRO HXS,50.17,256.0,0.196,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
VisionTek PRO XMN,39.99,256.0,0.156,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0 GB
VisionTek PRO HXS,174.63,1000.0,0.175,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
