name,storage_price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_2
Kingston NV2,250.0,4000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
TEAMGROUP MP34,225.99,4000.0,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4,4.0 TB
Sabrent Rocket 4.0,99.99,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
KingSpec XG7000,127.99,2000.0,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Klevv CRAS C910,64.98,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Acer Predator GM7000,274.99,4000.0,0.069,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
TEAMGROUP T-Force Vulcan Z,27.99,480.0,0.058,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Samsung 870 Evo,30.98,250.0,0.124,SSD,512.0,2.5,SATA 6.0 Gb/s,250.0 GB
Western Digital Black SN850X w/Heatsink,173.99,2000.0,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Crucial MX500,273.49,4000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
Crucial P5 Plus,91.95,500.0,0.184,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Crucial BX500,124.99,2000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
MSI SPATIUM M480 PRO,209.03,2000.0,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Lexar NM710,158.99,2000.0,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Solidigm P44 Pro,169.99,2000.0,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Solidigm P44 Pro,87.99,1000.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
PNY CS2241,209.99,4000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Patriot P210,53.99,1000.0,0.054,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
ADATA Legend 800,76.41,1000.0,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Sabrent Rocket 4 Plus,219.99,2000.0,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
FanXiang S500 Pro,64.98,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Samsung 970 Evo,116.55,500.0,0.233,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Silicon Power P34A60,39.99,512.0,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
ADATA XPG SX8200 Pro,94.14,1000.0,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
ADATA Legend 800,108.99,2000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
TEAMGROUP T-Force Vulcan Z,21.99,240.0,0.092,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Klevv CRAS C710,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
TEAMGROUP MP33,25.99,256.0,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0 GB
Leven JPS800,104.99,2000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Blue SN550,133.0,1000.0,0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Mushkin Vortex Redline,77.98,1000.0,0.078,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 870 QVO,166.05,2000.0,0.083,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Gigabyte AORUS Gen4 7300,123.05,1000.0,0.123,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Acer Predator GM7000,54.99,512.0,0.107,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4,512.0 GB
ADATA XPG GAMMIX S7,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Western Digital Blue,80.98,500.0,0.162,SSD,,2.5,SATA 6.0 Gb/s,500.0 GB
Seagate BarraCuda Q5,63.99,1000.0,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Samsung 980,44.99,250.0,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4,250.0 GB
Western Digital Blue SN580,58.88,500.0,0.118,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Kingston KC3000,70.98,512.0,0.139,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0 GB
Samsung 870 QVO,339.99,4000.0,0.085,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
Silicon Power P34A60,60.99,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Intel 670p,86.37,1000.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Kingston A400,27.99,120.0,0.233,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
MSI SPATIUM M450,41.98,500.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Silicon Power A60,104.99,2000.0,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Western Digital Black SN850X w/Heatsink,111.1,1000.0,0.111,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP MP44,74.98,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Crucial P2,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
TEAMGROUP T-Force Vulcan Z,199.99,4000.0,0.05,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
TEAMGROUP MP33 PRO,64.98,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Western Digital Black SN750,49.99,500.0,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Silicon Power A55,57.99,1000.0,0.058,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Patriot P310,35.99,480.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4,480.0 GB
Silicon Power A55,97.99,2000.0,0.049,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Samsung 870 QVO,79.98,1000.0,0.08,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Gigabyte AORUS Gen4 7300,209.7,2000.0,0.105,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Black SN770,49.99,250.0,0.2,SSD,,M.2-2280,M.2 PCIe 4.0 X4,250.0 GB
Leven JM600,54.99,1000.0,0.055,SSD,,M.2-2280,M.2 SATA,1.0 TB
Inland TN450,69.98,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Kingston Fury Renegade,334.52,4000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
PNY CS900,36.99,500.0,0.074,SSD,,2.5,SATA 6.0 Gb/s,500.0 GB
SanDisk SSD PLUS,74.99,1000.0,0.075,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Patriot P210,19.98,256.0,0.078,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
FanXiang S500 Pro,38.99,512.0,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Patriot Viper VP4300 Lite,119.99,2000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Kingston KC600,33.85,256.0,0.132,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
Crucial P2,78.55,500.0,0.157,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Western Digital Green SN350,59.99,960.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4,960.0 GB
TEAMGROUP GX2,32.99,512.0,0.064,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
Crucial P1,109.0,1000.0,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Silicon Power US75,214.99,4000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Lexar NM620,42.99,512.0,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Mushkin Helix-L,37.99,512.0,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0 GB
Silicon Power A55,34.99,512.0,0.068,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
PNY CS1030,74.98,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Leven JS600,184.99,4000.0,0.046,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
TEAMGROUP MP44L,43.99,500.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Crucial MX500,39.99,250.0,0.16,SSD,256.0,2.5,SATA 6.0 Gb/s,250.0 GB
Crucial BX500,27.99,240.0,0.117,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Western Digital Green SN350,39.99,480.0,0.083,SSD,,M.2-2280,M.2 PCIe 3.0 X4,480.0 GB
Western Digital Green SN350,119.34,2000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
SK Hynix Gold P31,84.99,1000.0,0.085,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Inland Performance Plus,138.99,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Silicon Power UD85,67.98,1000.0,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP CX2,102.99,2000.0,0.051,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Patriot P310,21.99,240.0,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4,240.0 GB
ADATA XPG SX8200 Pro,116.0,2000.0,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
ADATA SU630,30.47,240.0,0.127,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Crucial P5 Plus W/Heatsink,172.47,2000.0,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Corsair MP600 PRO LPX,164.99,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
TEAMGROUP Cardea A440,143.36,2000.0,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Sabrent Rocket 4 Plus,119.99,1000.0,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Kingston NV1,74.98,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Corsair MP600 PRO XT,175.99,2000.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Lexar NM790 w/Heatsink,84.99,1000.0,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Leven JPS600,58.99,1000.0,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Patriot Burst Elite,49.99,960.0,0.052,SSD,,2.5,SATA 6.0 Gb/s,960.0 GB
HP FX900 Pro,134.99,2000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Inland TN470,137.99,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Seagate FireCuda 530,115.0,1000.0,0.115,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Leven JS600,53.99,1000.0,0.054,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Samsung 860 Evo,86.13,250.0,0.345,SSD,512.0,2.5,SATA 6.0 Gb/s,250.0 GB
Western Digital Blue SA510,136.87,2000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Inland Performance Plus,75.98,1000.0,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
FanXiang S880,79.98,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Patriot P210,30.99,512.0,0.061,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
Mushkin Vortex Redline,136.99,2000.0,0.068,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Blue SA510,271.7,4000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
PNY CS900,69.99,1000.0,0.07,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Sabrent Rocket 4 Plus,499.99,4000.0,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Mushkin Helix-L,61.99,1000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Samsung 860 Pro,1099.99,4000.0,0.275,SSD,4096.0,2.5,SATA 6.0 Gb/s,4.0 TB
TEAMGROUP MP33 PRO,40.99,512.0,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
TEAMGROUP MS30,108.99,2000.0,0.054,SSD,,M.2-2280,M.2 SATA,2.0 TB
Crucial BX500,37.99,480.0,0.079,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Mushkin Tempest,68.98,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Seagate FireCuda 530,219.95,2000.0,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Inland TN470,81.99,1000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP Cardea A440,79.98,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Gigabyte Gen3 2500E,91.55,1000.0,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Western Digital Green SN350,28.99,240.0,0.121,SSD,,M.2-2280,M.2 PCIe 3.0 X4,240.0 GB
Samsung 960 Evo,87.06,250.0,0.348,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,250.0 GB
Corsair MP600 PRO LPX,99.99,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
SanDisk SSD PLUS,29.99,240.0,0.125,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
TEAMGROUP QX,197.99,4000.0,0.049,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
MSI SPATIUM M480 PRO,285.0,4000.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Western Digital Green,51.55,240.0,0.215,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
Patriot P210,97.99,2000.0,0.049,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Corsair MP600 PRO NH,159.99,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Leven JS600,29.99,512.0,0.059,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
Samsung 860 Evo,255.0,2000.0,0.128,SSD,2048.0,2.5,SATA 6.0 Gb/s,2.0 TB
Verbatim Vi5000,78.5,1000.0,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Western Digital Black SN850,112.99,1000.0,0.113,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP AX2,54.99,1000.0,0.055,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Lexar NM710,34.99,500.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Corsair MP600 ELITE,159.99,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Intel 670p,149.0,2000.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Samsung 970 Pro,199.99,512.0,0.391,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Kingston NV1,48.99,500.0,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Corsair MP600 ELITE,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
ADATA XPG SX8200 Pro,57.16,512.0,0.112,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
MSI SPATIUM M461,267.7,4000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Western Digital Black SN750,74.98,500.0,0.15,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Gigabyte AORUS Gen4 7000s,92.43,1000.0,0.092,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Silicon Power XS70,149.99,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
ADATA XPG SPECTRIX S40G RGB,82.22,1000.0,0.082,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Crucial T500 W/Heatsink,160.99,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Samsung 980 Pro,129.99,250.0,0.52,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4,250.0 GB
Western Digital Black SN850,84.0,500.0,0.168,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
TEAMGROUP EX2,106.99,2000.0,0.053,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Crucial T500,72.99,500.0,0.146,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Solidigm P41 Plus,47.89,500.0,0.096,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
FanXiang S880,129.99,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Western Digital Blue SN570,39.99,250.0,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4,250.0 GB
MSI SPATIUM M460,72.99,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 860 QVO,123.91,1000.0,0.124,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Crucial T500 W/Heatsink,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Silicon Power A55,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 SATA,1.0 TB
Mushkin Helix-L,106.99,2000.0,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
SK Hynix Gold P31,149.99,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Timetec 35TTFP6PCIE,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Intel 670p,51.9,512.0,0.101,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Samsung 970 Pro,392.99,1000.0,0.393,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
TEAMGROUP QX,96.99,2000.0,0.048,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
Samsung 970 Evo,248.99,2000.0,0.124,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Samsung 960 Pro,689.95,2000.0,0.345,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Samsung 850 Evo,129.23,1000.0,0.129,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Samsung 850 Pro,210.28,1000.0,0.21,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Crucial P2,121.99,2000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Crucial P5 Plus W/Heatsink,93.99,1000.0,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
ADATA Ultimate SU650,15.99,120.0,0.133,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
Western Digital Blue SA510,86.45,1000.0,0.086,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Mushkin Tempest,102.99,2000.0,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Western Digital Black AN1500,365.03,4000.0,0.091,SSD,,PCIe,PCIe x8,4.0 TB
Samsung 860 Evo,379.24,4000.0,0.095,SSD,4096.0,2.5,SATA 6.0 Gb/s,4.0 TB
Silicon Power P34A60,27.99,256.0,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0 GB
Western Digital Black SN750,646.48,4000.0,0.162,SSD,,M.2-2280,M.2 PCIe 3.0 X4,4.0 TB
SanDisk SSD PLUS,124.99,2000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
TEAMGROUP T-Force Vulcan Z,20.99,256.0,0.082,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
ADATA Legend 710,73.43,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
ADATA Legend 960,163.8,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Silicon Power XS70,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Samsung 960 Evo,139.99,500.0,0.28,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Samsung 970 Evo,92.0,250.0,0.368,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,250.0 GB
Gigabyte GP-GSTFS31480GNTD,43.03,480.0,0.09,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Corsair MP600 PRO XT,103.99,1000.0,0.104,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
PNY CS1030,36.99,500.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
Silicon Power US75,77.98,1000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP CX2,54.99,1000.0,0.055,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Corsair MP600 Force Series Gen4,208.65,1000.0,0.209,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
Patriot Burst Elite,17.98,240.0,0.075,SSD,,2.5,SATA 6.0 Gb/s,240.0 GB
TEAMGROUP MS30,23.99,256.0,0.094,SSD,,M.2-2280,M.2 SATA,256.0 GB
ADATA XPG SPECTRIX S40G RGB,55.42,512.0,0.108,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
HP FX900 Pro,84.99,1000.0,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Western Digital Green,72.02,1000.0,0.072,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Gigabyte GP-GSM2NE3256GNTD,36.79,256.0,0.144,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0 GB
SanDisk SSD PLUS,43.78,480.0,0.091,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Western Digital PC SN730,45.0,512.0,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Solidigm P44 Pro,67.94,512.0,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0 GB
Intel 660p,86.99,512.0,0.17,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
TEAMGROUP MP33 PRO,110.99,2000.0,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
AGI AI198,44.0,512.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0 GB
Lexar NM790 w/Heatsink,149.99,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
SanDisk Ultra 3D,249.99,4000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,4.0 TB
ADATA LEGEND 850 LITE,112.99,2000.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Seagate BarraCuda Q5,123.0,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Western Digital Black SN850,234.99,2000.0,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
ADATA LEGEND 840,44.99,512.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0 GB
ADATA XPG GAMMIX S60 Blade,72.99,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
TEAMGROUP T-Create Classic DL,68.98,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Seagate FireCuda 520,59.55,500.0,0.119,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Corsair MP600 PRO LPX,164.99,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Samsung 850 Pro,155.25,256.0,0.606,SSD,,2.5,SATA 6.0 Gb/s,256.0 GB
TEAMGROUP GX2,61.99,1000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,1.0 TB
Crucial P5,119.99,1000.0,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
ADATA LEGEND 850 LITE,68.98,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Corsair MP600 GS,83.99,1000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
PNY CS2241,129.99,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Intel 660p,74.95,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1.0 TB
ADATA SU630,56.76,480.0,0.118,SSD,,2.5,SATA 6.0 Gb/s,480.0 GB
Kingston SSDNow V300,44.99,120.0,0.375,SSD,,2.5,SATA 6.0 Gb/s,120.0 GB
Lexar NS100,83.99,512.0,0.164,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
Western Digital WD_BLACK SN850P for PS5,126.48,1000.0,0.126,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Transcend 110S,24.99,128.0,0.195,SSD,,M.2-2280,M.2 PCIe 3.0 X4,128.0 GB
Gigabyte AORUS Gen4,169.0,1000.0,0.169,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Seagate FireCuda 530,827.0,4000.0,0.207,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Silicon Power A55,34.99,512.0,0.068,SSD,,M.2-2280,M.2 SATA,512.0 GB
Western Digital Blue,184.44,2000.0,0.092,SSD,,2.5,SATA 6.0 Gb/s,2.0 TB
ADATA LEGEND 960 MAX,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Verbatim Vi3000,115.27,2000.0,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2.0 TB
Corsair MP600 GS,198.99,2000.0,0.099,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2.0 TB
Inland TN450,46.99,500.0,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0 GB
Patriot Viper VP4300 Lite,229.99,4000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4.0 TB
Verbatim Vi550,41.98,512.0,0.082,SSD,,2.5,SATA 6.0 Gb/s,512.0 GB
ADATA XPG SX6000 Pro,31.17,256.0,0.122,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0 GB
Crucial P1,74.22,500.0,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
KIOXIA EXCERIA,89.5,500.0,0.179,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0 GB
PNY CS2241,67.99,1000.0,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
Patriot P400 Lite,89.33,1000.0,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1.0 TB
