name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte Z490 AORUS ELITE,327.91,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z690 AORUS ELITE DDR4,249.99,LGA1700,ATX,128,4,Black / Silver
Asus Pro WS X570-ACE,589.0,AM4,ATX,128,4,Black
Gigabyte B760 AORUS ELITE,267.5,LGA1700,ATX,192,4,Black
MSI Z270 GAMING M5,481.49,LGA1151,ATX,64,4,Black / Silver
MSI MEG Z490 ACE,399.0,LGA1200,ATX,128,4,Black / Gold
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0),376.49,LGA1151,ATX,64,4,Black / Red
Gigabyte B660 AORUS Master,401.59,LGA1700,ATX,192,4,Black
Gigabyte Z490 AORUS MASTER,400.9,LGA1200,ATX,128,4,Black / Silver
Gigabyte B760 AORUS MASTER DDR4,278.52,LGA1700,ATX,128,4,Black
MSI Z270 SLI,249.99,LGA1151,ATX,64,4,Black / Silver
ASRock X370 Killer SLI,219.99,AM4,ATX,64,4,Black / White
Gigabyte Z490 AORUS PRO AX,449.99,LGA1200,ATX,128,4,Black / Silver
ASRock Fatal1ty Z170 Gaming K4,349.99,LGA1151,ATX,64,4,Black / Red
Gigabyte Z490 AORUS ULTRA,431.99,LGA1200,ATX,128,4,Black / Silver
Asus ROG Maximus XIII Apex,649.99,LGA1200,ATX,64,2,Black
Gigabyte Z490 GAMING X AX,317.0,LGA1200,ATX,128,4,Brown / Black
ASRock Fatal1ty Z370 Gaming K6,431.99,LGA1151,ATX,64,4,Black / Silver
Supermicro C9Z390-CGW,667.39,LGA1151,ATX,128,4,Black / Silver
Supermicro MBD-X11SAE-F-O,495.15,LGA1151,ATX,64,4,Black / Green
ASRock X470 Master SLI,583.33,AM4,ATX,64,4,Black
ASRock Z270 Killer SLI,333.78,LGA1151,ATX,64,4,Black / White
Supermicro C7Z170-OCE,536.24,LGA1151,ATX,64,4,Black / Green
