name,price,socket,form_factor,max_memory,memory_slots,color
MSI Z790 GAMING PLUS WIFI,199.99,LGA1700,ATX,192,4,Black
ASRock Z690 Pro RS,119.99,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX Z790-F GAMING WIFI II,409.99,LGA1700,ATX,192,4,Black
MSI PRO Z790-S WIFI,169.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-A GAMING WIFI,334.99,AM5,ATX,192,4,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,219.99,LGA1700,ATX,128,4,Black / Silver
MSI PRO B550-VC,139.99,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX ICE,259.99,LGA1700,ATX,192,4,Silver / White
Asus PRIME B550-PLUS,109.99,AM4,ATX,128,4,Black / White
ASRock X670E PG Lightning,238.76,AM5,ATX,192,4,Black
ASRock B550 Phantom Gaming 4,89.99,AM4,ATX,128,4,Silver / Black
MSI MAG Z790 TOMAHAWK MAX WIFI,269.99,LGA1700,ATX,192,4,Black / Yellow
Asus PRIME Z790-A WIFI,249.0,LGA1700,ATX,192,4,Black / Silver
MSI MPG X670E CARBON WIFI,409.99,AM5,ATX,192,4,Black
Asus ROG MAXIMUS Z790 HERO,529.99,LGA1700,ATX,192,4,Black
Gigabyte Z790 AORUS ELITE X AX,229.99,LGA1700,ATX,192,4,Black
MSI MPG B650 EDGE WIFI,227.99,AM5,ATX,192,4,Black / Silver
Asus PRIME X670E-PRO WIFI,299.76,AM5,ATX,192,4,Silver / Black
ASRock B650 LiveMixer,138.99,AM5,ATX,192,4,Orange / Black
MSI PRO Z790-P WIFI DDR4,201.19,LGA1700,ATX,128,4,Black / Silver
Asus PRIME B550-PLUS AC-HES,109.99,AM4,ATX,128,4,Silver / Black
MSI PRO Z790-A WIFI,219.99,LGA1700,ATX,192,4,Black / Silver
ASRock B650 PRO RS,244.21,AM5,ATX,192,4,Black / Silver
MSI MAG B760 TOMAHAWK WIFI DDR4,179.99,LGA1700,ATX,128,4,Black
Asus ROG STRIX Z790-F GAMING WIFI,269.99,LGA1700,ATX,192,4,Black
ASRock Z790 Lightning WiFi,159.99,LGA1700,ATX,192,4,Silver / Black
Asus PRIME Z790-V WIFI,219.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte Z790 UD AC,189.99,LGA1700,ATX,192,4,Black
Asus ROG MAXIMUS Z790 APEX ENCORE,869.47,LGA1700,ATX,96,2,Black
ASRock B650 PG LIGHTNING,149.99,AM5,ATX,192,4,Black
Gigabyte B760 AORUS ELITE AX,169.99,LGA1700,ATX,192,4,Black
ASRock Z790 Riptide WiFi,199.99,LGA1700,ATX,192,4,Black
Asus TUF GAMING B760-PLUS WIFI,179.99,LGA1700,ATX,192,4,Black
Gigabyte Z790 GAMING X AX,199.99,LGA1700,ATX,192,4,Black
Asus PRIME Z390-P,199.94,LGA1151,ATX,128,4,Silver / Black
MSI MPG Z790 CARBON WIFI II,399.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX Z690-A GAMING WIFI D4,397.86,LGA1700,ATX,128,4,Silver / Black
MSI PRO Z690-A WIFI DDR4,189.99,LGA1700,ATX,128,4,Black / Silver
MSI Z390-A PRO,246.18,LGA1151,ATX,128,4,Brown / Black
Asus TUF GAMING Z790-PLUS WIFI D4,199.99,LGA1700,ATX,128,4,Black
Gigabyte B550 AORUS ELITE V2,173.32,AM4,ATX,128,4,Black
Asus ROG Crosshair VIII Dark Hero,579.99,AM4,ATX,128,4,Black / Silver
Asus PRIME Z390-A,284.0,LGA1151,ATX,128,4,Silver / Black
ASRock Z790 Pro RS,169.99,LGA1700,ATX,192,4,Silver / Black
MSI PRO B760-VC WIFI IV,159.99,LGA1700,ATX,256,4,Black / Silver
MSI PRO Z790-VC WIFI,159.99,LGA1700,ATX,192,4,Black
MSI MPG B650 CARBON WIFI,458.47,AM5,ATX,192,4,Black
MSI Z790 GAMING PRO WIFI,189.99,LGA1700,ATX,192,4,Black
Gigabyte B650 UD AC,169.99,AM5,ATX,192,4,Black / Gray
Gigabyte Z390 AORUS PRO WIFI,298.0,LGA1151,ATX,128,4,Black / Silver
ASRock B550 Pro4,119.67,AM4,ATX,128,4,Silver / Black
MSI MAG B660 TOMAHAWK WIFI DDR4,235.49,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z790 EDGE WIFI,291.94,LGA1700,ATX,192,4,Silver / Black
Asus PRIME B660-PLUS D4,149.02,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX X570-E GAMING WIFI II,459.0,AM4,ATX,128,4,Black
Asus TUF GAMING B550-PLUS,157.0,AM4,ATX,128,4,Black
Asus TUF GAMING B650-PLUS,260.54,AM5,ATX,128,4,Black / Orange
Asus PRIME X670-P,221.02,AM5,ATX,192,4,Silver / Black
ASRock Z690 PG Riptide,124.99,LGA1700,ATX,128,4,Black / Silver
MSI Z490-A PRO,329.0,LGA1200,ATX,128,4,Black / Silver
ASRock B450 Steel Legend,99.99,AM4,ATX,64,4,Black / Silver
Asus ROG STRIX Z590-E GAMING WIFI,349.63,LGA1200,ATX,128,4,Black
MSI MPG Z790 CARBON WIFI,439.56,LGA1700,ATX,192,4,Black
Gigabyte B450 AORUS ELITE V2,126.81,AM4,ATX,128,4,Black
Asus TUF GAMING Z690-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray
ASRock Z690 Phantom Gaming 4/D5,129.99,LGA1700,ATX,192,4,Black / Silver
Asus PRIME Z490-P,199.99,LGA1200,ATX,128,4,Black / Silver
ASRock B650E STEEL LEGEND WIFI,199.99,AM5,ATX,192,4,Black / Silver
ASRock B760 Pro RS/D4,149.5,LGA1700,ATX,128,4,Silver / Black
MSI MEG Z690 UNIFY,199.99,LGA1700,ATX,192,4,Black / Silver
MSI PRO X670-P WIFI,349.99,AM5,ATX,192,4,Black / White
Asus ROG STRIX B760-F GAMING WIFI,247.94,LGA1700,ATX,192,4,Black
MSI MPG X570 GAMING EDGE WIFI,299.0,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING X670E-PLUS,353.13,AM5,ATX,192,4,Black / Orange
Asus TUF GAMING B660-PLUS WIFI D4,215.81,LGA1700,ATX,128,4,Yellow / Black
MSI MAG Z790 TOMAHAWK WIFI DDR4,265.75,LGA1700,ATX,128,4,Black
MSI MPG Z690 EDGE WIFI DDR4,369.0,LGA1700,ATX,128,4,Black / Gray
Asus PROART B650-CREATOR,229.99,AM5,ATX,192,4,Black / Copper
MSI PRO Z790-A WIFI DDR4,194.99,LGA1700,ATX,128,4,Black / Silver
ASRock B760 Pro RS,149.99,LGA1700,ATX,192,4,Silver / Black
ASRock X670E Pro RS,219.99,AM5,ATX,192,4,Black
Asus PRIME B450-PLUS,130.96,AM4,ATX,64,4,Black / Silver
ASRock X570 Phantom Gaming 4S,3939.77,AM4,ATX,128,4,Black
Asus TUF GAMING B450-PLUS II,135.58,AM4,ATX,128,4,Black
Gigabyte B760 DS3H AC DDR4,139.99,LGA1700,ATX,128,4,Black
Asus ROG STRIX Z390-E GAMING,365.0,LGA1151,ATX,128,4,Black
Asus ROG STRIX B760-A GAMING WIFI D4,214.99,LGA1700,ATX,128,4,Silver / Black
Asus PRIME Z790-P WIFI D4,219.99,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX B550-F GAMING (WI-FI),329.0,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS PRO X WIFI7,349.99,LGA1700,ATX,192,4,Black
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),237.26,AM4,ATX,64,4,Black / Silver
ASRock Z790 Steel Legend WiFi,229.99,LGA1700,ATX,192,4,Silver / Black
ASRock Z790 PRO RS WIFI,187.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte B650E AORUS MASTER,448.02,AM5,ATX,192,4,Black / Silver
Gigabyte Z790 D AC,184.99,LGA1700,ATX,192,4,Gray / Black
Gigabyte X570 AORUS ELITE WIFI,319.99,AM4,ATX,128,4,Black
MSI MPG Z390 GAMING EDGE AC,399.99,LGA1151,ATX,128,4,Black / Silver
MSI B450-A PRO MAX,144.97,AM4,ATX,64,4,Brown / Black
Asus PRIME X570-PRO,458.71,AM4,ATX,128,4,Black / White
ASRock Z790 PG Lightning/D4,230.02,LGA1700,ATX,128,4,Black
MSI X470 GAMING PLUS MAX,199.99,AM4,ATX,64,4,Black
ASRock X570 Phantom Gaming 4 WiFi ax,129.99,AM4,ATX,128,4,Black
Asus PRIME Z270-A,381.49,LGA1151,ATX,64,4,Black / White
ASRock B450 Pro4 R2.0,115.56,AM4,ATX,128,4,Black
Gigabyte Z690 AORUS ELITE AX DDR4,258.99,LGA1700,ATX,128,4,Black / Silver
Gigabyte A520 AORUS ELITE,119.02,AM4,ATX,128,4,Black / Orange
Asus ROG STRIX Z690-F GAMING WIFI,326.0,LGA1700,ATX,192,4,Black / Silver
ASRock Z790 PG LIGHTNING,209.99,LGA1700,ATX,192,4,Black
Gigabyte B650 AORUS PRO AX,366.85,AM5,ATX,192,4,Black
Gigabyte B760 DS3H AC,154.99,LGA1700,ATX,192,4,Gray / Black
Asus PRIME Z690-P WIFI,179.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte B450 AORUS ELITE,158.9,AM4,ATX,64,4,Black / Silver
Asus ROG STRIX Z790-A GAMING WIFI,337.25,LGA1700,ATX,192,4,Silver / Black
MSI MPG Z790 CARBON MAX WIFI II,469.99,LGA1700,ATX,256,4,Black
Gigabyte B650 AERO G,259.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX B660-A GAMING WIFI D4,219.99,LGA1700,ATX,128,4,Silver / Black
Asus PRIME X570-P,288.29,AM4,ATX,128,4,Black / White
Gigabyte Z790 AERO G,259.99,LGA1700,ATX,192,4,
MSI PRO B760-P DDR4 II,171.45,LGA1700,ATX,128,4,Black
ASRock X570 Steel Legend,139.99,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING X570-PLUS,289.86,AM4,ATX,128,4,Black / Gold
Asus ROG Strix X570-E Gaming,609.0,AM4,ATX,128,4,Black
ASRock X570S PG Riptide,139.99,AM4,ATX,128,4,Black
Asus ProArt B760-CREATOR WIFI,219.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX Z490-E GAMING,478.66,LGA1200,ATX,128,4,Black
MSI PRO Z690-A DDR4,189.99,LGA1700,ATX,128,4,Black / Silver
ASRock X570 Steel Legend WiFi ax,149.99,AM4,ATX,128,4,Black / Silver
Gigabyte Z390 UD,209.99,LGA1151,ATX,128,4,Black / Silver
Gigabyte Z790 UD AX,266.58,LGA1700,ATX,192,4,Black
Asus Z170-A,331.49,LGA1151,ATX,64,4,Black / White
ASRock B550 Steel Legend,155.0,AM4,ATX,128,4,Silver / Black
Asus TUF GAMING B760-PLUS WIFI D4,209.8,LGA1700,ATX,192,4,Black / Orange
ASRock X570 Taichi,212.99,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING H570-PRO WIFI,284.99,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z790 AORUS ELITE AX DDR4,224.0,LGA1700,ATX,128,4,Black
Asus ROG MAXIMUS XI HERO (WI-FI),439.0,LGA1151,ATX,128,4,Black
Asus ROG MAXIMUS Z690 HERO,499.0,LGA1700,ATX,192,4,Black / Silver
ASRock Z790 PG SONIC,189.99,LGA1700,ATX,192,4,Black / Blue
ASRock X570 Pro4,129.99,AM4,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z690 FORMULA,459.25,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING B650-E WIFI,189.99,AM5,ATX,192,4,Black / Orange
Asus PRIME Z690-A,258.99,LGA1700,ATX,192,4,Silver / Black
Asus ROG Crosshair VIII Hero (WI-FI),719.0,AM4,ATX,128,4,Black
Asus PRIME Z690-P D4,309.27,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX B550-E GAMING,235.0,AM4,ATX,128,4,Black
ASRock X570 Taichi Razer Edition,235.99,AM4,ATX,128,4,Black / Silver
MSI MAG Z690 TOMAHAWK WIFI,255.0,LGA1700,ATX,192,4,Black / Silver
Asus Strix B550-XE Gaming WiFi,219.99,AM4,ATX,128,4,Black
MSI MPG Z690 CARBON WIFI,440.0,LGA1700,ATX,192,4,Black / Silver
ASRock Z690 Taichi,209.99,LGA1700,ATX,192,4,Black / Copper
ASRock X570 Phantom Gaming 4,198.0,AM4,ATX,128,4,Black / Silver
ASRock B450 Pro4,145.0,AM4,ATX,64,4,Black / Silver
Gigabyte B760 DS3H AX DDR4,154.99,LGA1700,ATX,128,4,Black
Gigabyte Z690 GAMING X DDR4,229.99,LGA1700,ATX,128,4,Black / Gray
Asus ROG Strix X570-F Gaming,345.0,AM4,ATX,128,4,Black
MSI MPG Z390 GAMING PRO CARBON,279.66,LGA1151,ATX,128,4,Black / Silver
Gigabyte B550 AORUS PRO AC,306.39,AM4,ATX,128,4,Black / Orange
Asus ProArt B550-CREATOR,239.99,AM4,ATX,128,4,Black
NZXT N7-Z69XT-B1,269.99,LGA1700,ATX,128,4,Black
Asus PRIME H770-PLUS D4,159.99,LGA1700,ATX,128,4,Silver / Black
MSI PRO B760-P WIFI,169.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte B650 Gaming X,232.89,AM5,ATX,192,4,Black
Gigabyte Z390 GAMING X,269.99,LGA1151,ATX,128,4,Black / Red
Gigabyte B760 GAMING X,204.46,LGA1700,ATX,192,4,Black / Gray
MSI MPG Z690 FORCE WIFI,240.04,LGA1700,ATX,192,4,Silver / Black
Asus ROG Crosshair VIII Hero,481.82,AM4,ATX,128,4,Black
Asus TUF Z390-PLUS GAMING (WI-FI),279.0,LGA1151,ATX,128,4,Black / Gold
Gigabyte B550 AORUS ELITE AX,201.91,AM4,ATX,128,4,Black
Asus TUF B450-PLUS GAMING,170.0,AM4,ATX,64,4,Black / Gold
MSI MAG Z490 TOMAHAWK,355.0,LGA1200,ATX,128,4,Black / Silver
MSI PRO Z690-P DDR4,169.99,LGA1700,ATX,128,4,Black / Silver
Gigabyte X570 GAMING X,229.99,AM4,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z690 APEX,599.95,LGA1700,ATX,96,2,Black / Silver
ASRock Z690 Steel Legend WiFi 6E/D5,189.99,LGA1700,ATX,192,4,Silver / Black
ASRock B550 Taichi Razer Edition,169.99,AM4,ATX,128,4,Black / Silver
Gigabyte B760 DS3H AX,154.99,LGA1700,ATX,192,4,Gray / Black
Asus TUF GAMING B550-PLUS (WI-FI),248.47,AM4,ATX,128,4,Black
Gigabyte X670 GAMING X AX (rev. 1.0),307.83,AM5,ATX,192,4,Black
Asus PRIME Z690-P WIFI D4,377.38,LGA1700,ATX,128,4,Silver / Black
Asus PROART B760-CREATOR D4,179.99,LGA1700,ATX,128,4,Black / Copper
Asus ProArt Z690-CREATOR WIFI,689.0,LGA1700,ATX,192,4,Black / Copper
ASRock Z790 LiveMixer,179.99,LGA1700,ATX,192,4,Purple / Black
MSI Z270-A PRO,435.99,LGA1151,ATX,64,4,Brown / Black
ASRock B550 PG Velocita,129.99,AM4,ATX,128,4,Silver / Black
Gigabyte Z790 UD,240.06,LGA1700,ATX,192,4,Black
Gigabyte X570S AERO G,527.9,AM4,ATX,128,4,Black / White
Asus TUF GAMING Z490-PLUS (WI-FI),360.6,LGA1200,ATX,128,4,Black
Gigabyte X570 AORUS PRO WIFI,349.99,AM4,ATX,128,4,Black / Silver
ASRock B550 PG Riptide,131.99,AM4,ATX,128,4,Black / Silver
