name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,Brand,Rank,Benchmark,avg_p2p,socket
AMD Ryzen 7 5800X3D,261.18,8,3.4,4.5,105,,True,AMD,57,104.0,1.512366949996171,AM4
Intel Core i9-11900K,257.99,8,3.5,5.3,125,Intel UHD Graphics 750,True,Intel,59,103.0,1.7054924609480986,LGA1200
Intel Core i7-11700K,233.0,8,3.6,5.0,125,Intel UHD Graphics 750,True,Intel,63,101.0,1.8454935622317596,LGA1200
AMD Ryzen 9 5950X,363.0,16,3.4,4.9,105,,True,AMD,65,100.0,1.1432506887052343,AM4
Intel Core i5-11600K,179.99,6,3.9,4.9,125,Intel UHD Graphics 750,True,Intel,72,99.3,2.444580254458581,LGA1200
Intel Core i5-12500,195.98,6,3.0,4.6,65,Intel UHD Graphics 770,True,Intel,73,99.2,1.9389733646290437,LGA1700
AMD Ryzen 9 5900X,277.99,12,3.7,4.8,105,,True,AMD,75,99.0,1.5288319723731068,AM4
Intel Core i9-10850K,279.0,10,3.6,5.2,125,Intel UHD Graphics 630,True,Intel,77,98.9,1.5770609318996418,LGA1200
Intel Core i5-12400,156.76,6,2.5,4.4,65,Intel UHD Graphics 730,True,Intel,80,98.2,2.200816534830314,LGA1700
AMD Ryzen 7 5800X,202.0,8,3.8,4.7,105,,True,AMD,82,98.1,2.1039603960396036,AM4
Intel Core i5-12400F,128.0,6,2.5,4.4,65,,True,Intel,83,98.0,2.6953125,LGA1700
Intel Core i7-9700K,260.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Intel,92,96.9,1.6346153846153848,LGA1151
AMD Ryzen 7 5700X,171.89,8,3.4,4.6,65,,True,AMD,98,96.1,2.327069637558904,AM4
AMD Ryzen 5 5600X,144.31,6,3.7,4.6,65,,True,AMD,101,95.9,2.8757535860300742,AM4
Intel Core i3-12100F,94.98,4,3.3,4.3,58,,True,Intel,108,94.1,4.000842282585808,LGA1700
Intel Core i3-12100,116.98,4,3.3,4.3,60,Intel UHD Graphics 730,True,Intel,110,94.0,3.248418533082578,LGA1700
Intel Core i5-9600K,137.0,6,3.7,4.6,95,Intel UHD Graphics 630,False,Intel,112,93.2,3.0291970802919703,LGA1151
AMD Ryzen 5 5600,129.99,6,3.5,4.4,65,,True,AMD,115,93.1,3.0386952842526345,AM4
Intel Core i5-10600K,169.65,6,4.1,4.8,125,Intel UHD Graphics 630,True,Intel,119,92.2,2.623047450633657,LGA1200
AMD Ryzen 7 5700G,174.4,8,3.8,4.6,65,Radeon Vega 8,True,AMD,128,90.8,2.4082568807339446,AM4
Intel Core i7-8700K,272.5,6,3.7,4.7,95,Intel UHD Graphics 630,True,Intel,139,88.4,1.5412844036697249,LGA1151
Intel Core i7-8700K,193.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,Intel,139,88.4,2.1761658031088085,LGA1151
AMD Ryzen 5 5600G,134.48,6,3.9,4.4,65,Radeon Vega 7,True,AMD,143,88.0,3.0859607376561575,AM4
AMD Ryzen 9 3900X,395.0,12,3.8,4.6,105,,True,AMD,146,87.9,1.0632911392405064,AM4
AMD Ryzen 5 5500,91.53,6,3.6,4.2,65,,True,AMD,159,86.2,4.260898066207801,AM4
AMD Ryzen 7 3700X,205.84,8,3.6,4.4,65,,True,AMD,161,85.9,1.9432568985619898,AM4
Intel Core i5-10400F,97.99,6,2.9,4.3,65,,True,Intel,169,85.2,3.6738442698234515,LGA1200
Intel Core i5-9400F,95.99,6,2.9,4.1,65,,False,Intel,176,84.8,3.6462131472028334,LGA1151
Intel Core i5-10400,130.0,6,2.9,4.3,65,Intel UHD Graphics 630,True,Intel,177,84.5,2.769230769230769,LGA1200
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True,AMD,185,84.1,1.9523809523809526,AM4
AMD Ryzen 5 3600,119.99,6,3.6,4.2,65,,True,AMD,191,83.1,3.250270855904659,AM4
AMD Ryzen 5 3600,262.86,6,3.6,4.2,65,,True,AMD,191,83.1,1.4836795252225519,AM4
AMD Ryzen 5 3600,84.0,6,3.6,4.2,65,,True,AMD,191,83.1,4.642857142857143,AM4
Intel Core i5-8400,249.95,6,2.8,4.0,65,Intel UHD Graphics 630,False,Intel,202,81.8,1.3602720544108822,LGA1151
Intel Core i5-8400,124.0,6,2.8,4.0,65,Intel UHD Graphics 630,False,Intel,202,81.8,2.741935483870968,LGA1151
AMD Ryzen 5 2600X,195.0,6,3.6,4.2,95,,True,AMD,309,74.0,2.0000000000000004,AM4
AMD Ryzen 5 2600,150.0,6,3.4,3.9,65,,True,AMD,320,73.3,2.433333333333333,AM4
AMD Ryzen 5 3400G,98.15,4,3.7,4.2,65,Radeon Vega 11,True,AMD,427,68.1,4.02445236882323,AM4
AMD Ryzen 3 3200G,81.39,4,3.6,4.0,65,Radeon Vega 8,False,AMD,526,62.7,4.668878240570094,AM4
